Monarch_name;Reign_start;Reign_end;Birth_year;Birth_month;Birth_day;Death_year;Death_month;Death_day;
Gorm_den_gamle;NA;958;[908-918];NA;NA;958;NA;NA;
Harald_blåtand;958;987;NA;NA;NA;987;NA;NA;
Svend_tveskæg;[980-989];1014;NA;NA;NA;1014;NA;NA;
Harald_2.;1014;1018;NA;NA;NA;1018;NA;NA;
Knud_den_store;1018;1035;995;NA;NA;1035;NA;NA;
Hardeknud;1035;1042;NA;NA;NA;1042;NA;NA;
Magnus_den_gode;1042;1047;1024;NA;NA;1047;NA;NA;
Svend_2._Estridsen;1047;1074;NA;NA;NA;1076;4;28;
Haral_3._Hen;1074;1080;NA;NA;NA;1080;NA;NA;
Knud_2._den_Hellige;1080;1086;NA;NA;NA;1086;7;10;
Oluf_1._Hunger;1086;1095;NA;NA;NA;1095;NA;NA;
Erik_1._Ejegod;1095;1103;NA;NA;NA;1103;NA;NA;
Niels;1104;1134;NA;NA;NA;1134;NA;NA;
Erik_2._Emume;1134;1137;NA;NA;NA;1137;7;18;
Erik_3._Lam;1137;1146;NA;NA;NA;1146;8;27;
Svend_Knud_Valdemar;1146;1157;NA;NA;NA;NA;NA;NA;
Valdemar_1._den_Store;1157;1182;NA;NA;NA;1182;NA;NA;
Knud_4.;1182;1202;NA;NA;NA;1202;NA;NA;
Valdemar_d._Sejr;1202;1241;1170;NA;NA;1241;NA;NA;
Erik_4._Plovpenning;1241;1250;1216;NA;NA;1250;NA;NA;
Abel;1250;1252;1218;NA;NA;1252;NA;NA;
Christoffer_1.;1252;1259;1219;NA;NA;1259;NA;NA;
Erik_d._Klipping;1259;1286;1249;NA;NA;1286;NA;NA;
Erik_6._Menved;1286;1319;1274;NA;NA;1319;NA;NA;
Christoffer_2.;1319;1326;1276;NA;NA;1332;NA;NA;
Valdemar_3.;1326;1329;1315;NA;NA;1364;NA;NA;
Christoffer 2.;1329;1332;1276;NA;NA;1332;NA;NA;
INTERREGNUM;1332;1340;NA;NA;NA;NA;NA;NA;
Valdemar_4._Atterdag;1340;1375;1320;NA;NA;1375;NA;NA;
Oluf_2;1375;1387;1370;NA;NA;1387;NA;NA;
Margrethe_1.;1387;1396;1353;NA;NA;1412;10;28;
Erik_7._af_Pommern;1396;1439;1382;NA;NA;1459;NA;NA;
Christoffer_3._af_Bayern;1440;1448;1416;NA;NA;1448;NA;NA;
Christian_1.;1448;1481;1426;NA;NA;1481;5;21;
Hans;1482;1513;1455;2;2;1513;2;20;
Christian_2.;1513;1523;1481;7;1;1559;1;25;
Frederik 1.;1523;1533;1471;10;7;1533;4;10;
INTERREGNUM;1533;1536;NA;NA;NA;NA;NA;NA;
Christian_3.;1536;1559;1503;8;12;1559;1;1;
Frederik _2.;1559;1588;1534;7;1;1588;4;4;
Christian_4.;1588;1648;1577;4;12;1648;2;28;
Frederik_3.;1648;1670;1609;3;18;1670;2;9;
Christian_5.;1670;1699;1646;4;15;1699;8;25;
Frederik_4.;1699;1730;1671;10;11;1730;10;12;
Christian_6.;1730;1746;1699;11;30;1746;8;6;
Frederik_5.;1746;1766;1723;3;31;1766;1;14;
Christian_7.;1766;1808;1749;1;29;1808;3;13;
Frederik 6.;1808;1836;1768;1;28;1839;12;3;
Christian_8.;1839;1848;1786;9;18;1848;1;20;
Frederik_7.;1848;1863;1808;10;6;1863;11;15;
Christian_9.;1863;1906;1818;4;8;1906;1;29;
Frederik_8.;1906;1912;1843;6;3;1912;5;15;
Christian_10.;1912;1947;1870;8;26;1947;4;20;
Frederik_9.;1947;1972;1899;3;11;1972;1;14;
Margrethe_2.;1972;NA;1940;4;16;NA;NA;NA;
